Production_company,No. of movies
Big Dog Films,1
Big Easy Pictures,1
Big Film Entertainment,1
Big Guy Films,1
Big House,2
Big Island Productions,1
Big Lobby Company,1
Big Mo Film Pty. Ltd.,1
Big Ol' Productions,1
Big Ones Entertainment,1
Big Pictures Entertainment,1
Big Pictures,2
Big Picutures,1
Big Pine Holdings,1
Big Pook Films,1
Big River Films,1
Big River Pictures,2
Big Score Company,1
Big Screen Entertainment Group,3
Big Screen Entertainment,5
Big Shark Productions LLC,1
Big Shot,1
Big Sir Productions,1
Big Sister Production,1
Big Sky Motion Pictures,1
Big Teddy Films,1
Big Tomorrow Productions,1
Big Tree Productions,1
Big Up Entertainment Films,1
Big West,1
Big Wood Entertainment,1
Big in Vegas Pictures,1
BigDeni Filmes,1
Bigel / Mailer Films,5
Bigfoot Entertainment,6
Bigga than Ben,1
Bigger Picture Company,1
Bikramjeet Films International,1
Bilcock & Copping Film Productions,1
Bill Graham Films,1
Bill Kenwright Films,2
Bill Osco Productions,1
Bill Plympton Studios,1
Bill Rebane Productions,1
Bill and Ben Productions,2
Bill and Michael Luckwell Ltd.,1
Billi Productions,1
Billy Jack Enterprises,2
Billy MacKinnon,1
Billy Pictures,1
Billy Wilder Productions,1
Billy's People,1
Biloba,1
Bimal Roy Productions,6
Bindweed Soundvision,1
Binext Hitec,1
Bing Crosby Enterprises,2
Bing Crosby Productions,14
Bingo Arms Productions,1
Bingo Y.K.,1
Bino Cicogna,1
Biograf Jan Sverak,4
Biograph Associates,1
Biograph Company,1
Biomorphs Inc.,1
Bionaut Films,1
Bioscope Film Framers,1
Bioscope,2
Bioskop Film,16
Bipolar Films,1
Bipolar Pictures,1
Birch Grove Films,1
Birch Tree Entertainment,1
Birchclass Productions,1
Bird Studios,13
Birinci Ticaretim,1
Biro Cinematografica,1
Birsel Film,1
Bischoff-Diamond Corporation,5
Bishop Studios LLC,1
Bits and Pieces Picture Company,1
Bitters End,6
Biz Films,1
Bizibi,1
Bizzlejig Films,1
Bjarmaland,1
Bjerking Produktion AB,1
Black & White Productions,1
Black & White,1
Black Bay Entertainment,1
Black Bear Pictures,2
Black Brain Pictures,1
Black Brook Films,1
Black Camel Pictures,1
Black Cat Enterprises (BCE),1
Black Crow Productions,1
Black Diamond Pictures,1
Black Diamond Productions,1
Black Diamonds,1
Black Dog Jib Productions,1
Black Entertainment Television (BET),3
Black Forest Films,3
Black Gate Entertainment,1
Black Gold Sun Entertainment,1
Black Knight Productions,1
Black Label Media,1
Black Lion Films,4
Black Marble Company,1
Black Marble Productions,1
Black Noise Media,1
Black Note Films,1
Black Orange,2
Black Owl Productions,1
Black Rhino Productions,1
Black River Productions,1
Black Sand Pictures,1
Black Sheep Entertainment (I),1
Black Sheep Productions (II),1
Black Snake,1
Black Swan Productions,1
Black Walk Productions,3
Black Water Films,1
Black Wolf Productions,1
Black and White Films,2
BlackArro Productions,1
BlackBear Films,1
Blackbird Project,1
Blackfern,1
Blackfish Editing,1
Blackhawk Productions,1
Blackout Movie,1
Blackpool Partnership,1
Blackwatch Communications,1
Blackwatch Productions,1
Blackwatch,1
Blackwater Film Productions Ltd.,2
Blackwater Films,1
Blaine and Blake Ltd.,1
Blake Edwards,2
Blanc de Chine Films,1
Blank Page Productions,1
Blank of the Dead Productions,1
Blansfilm,1
Blast! Films,3
Blatantly Subtle Productions,1
Blau Films,1
Blaustein-Baroda,1
Blaze Brothers Entertainment,1
Blaze Film Enterprises,4
Blazer Films,2
Blazing Sun Productions,1
Bleeding Hart Films,1
Bleiberg Entertainment,4
Blessed Film Productions,1
Blind Spot Pictures Oy,6
Blinder Films,1
Blink,1
Blinky Productions,1
Bliss Picture Ltd.,2
Bloch/Woodfield Productions,1
Block 2 Pictures,6
Blockbuster Films,1
Blockbuster Movie Entertainers,4
Blondie Production,1
Blood & Bullets Productions,2
Blood City,1
Blood Money Partners LP,1
Blood Relations Co.,1
Blood Salvage,1
BloodWorks,2
Bloodline Entertainment,1
Bloodline Films,1
Bloodshot Pictures,1
Bloody Mary Productions,2
Bloody Moon Films,1
Bloom Films 1998 Inc.,1
Bloom Films,1
Bloom Street Productions,1
Bloomsbury Films,1
Blow Up Pictures,4
Blu Cinematografica,3
Blue & Grey Film Ventures,1
Blue Angel Film,1
Blue Angels Films,1
Blue Arbor Films,1
Blue Askew,1
Blue Bear Productions II Inc.,1
Blue Blood Films,1
Blue Bomber Entertainment,1
Blue Bus Pictures,1
Blue Cactus Pictures,1
Blue Cinema,1
Blue Crow Productions,1
Blue Dahlia Productions,3
Blue Dolphin Film Distribution,2
Blue Dolphin Productions,1
Blue Eyes Fiction,1
Blue Films,2
Blue Haze Entertainment,1
Blue Horseshoe Productions Inc.,1
Blue Magic Pictures,1
Blue Maria Productions,1
Blue Moon Pictures,1
Blue Moon Productions,1
Blue Moxie Entertainment,1
Blue Omega Entertainment,1
Blue Pen,1
Blue Production Partnership,1
Blue Raven Productions,1
Blue Rider Pictures,9
Blue Ridge Entertainment,2
Blue Rock Films,1
Blue Seraph Productions,1
Blue Sky Entertainment,1
Blue Sky Films,1
Blue Snow Productions,1
Blue Star Entertainment,1
Blue Star Pictures,4
Blue Storm Production,2
Blue Streak Films,2
Blue Thunder Films,1
Blue Train Productions,1
Blue Tulip Productions,1
Blue Turtle,1
Blue Voo Doo Technologies,1
Blue Yonder Films,2
Blue-Tongue Films,1
Bluebird Movie Enterprises Ltd.,2
Bluebird Productions,1
Blueeyes Productions,4
Bluegrass Films,1
Bluehawk Films,1
Bluehorse Films,1
Blueline Productions,4
Bluemark Productions,2
Blueprint Entertainment,1
Blueprint Films,1
Blueprint Pictures,1
Blues Limited,1
Blueshift Entertainment,1
Bluewood,1
Blum Group,1
Blurco,2
Blustarr,1
Blyuz,1
Bo Ho Film Company Ltd.,15
Bo Widerberg Film,2
BoSD Films LLC,1
Boardwalk Productions,1
Bob Banner Associates,1
Bob Yari Productions,4
Bob-Bea Productions,3
Bobbs-Merrill,1
Bobby Enterprises,1
Bobby Jones Films LLC,1
Bocaboca Producciones,8
Bocaccio Films,2
Bocek Yapim,1
Bodega Bay Productions,1
Bodymelt Pty. Ltd.,1
Bog Body Films,1
Bog Productions,1
Bogner Entertainment,1
Bogvud Kino,1
Bohemian Films,2
Bohemian Productions,1
Bohra Bros Productions,1
Boies / Schiller Film Group,1
Boje Buck Produktion,8
Bojon Films Company Ltd.,5
Bokari,1
Boku Films,1
Bokyungsa,1
Bold Films,5
Bold Productions,1
Boll Kino Beteiligungs GmbH & Co. KG,8
Boll,1
BollorÃ© Production,1
Bollywood Hollywood Production,1
Bolu Filmproduktion und Verleih,1
Bomb the System LLC,1
Bombay Film Productions,1
Bombo Sports & Entertainment,1
Bombshell Pictures,1
Bona Fide Productions,3
Bona Film Group,2
Bonaire Film,2
Bonaparte Films,1
Bond Films,1
Bond,1
Bonded Filmworks,1
Bone Dry,1
Bones,1
Boneyard Entertainment,1
Boneyard Film Company Inc.,1
Bongiovi Entertainment,1
Bonkers,1
Bonne Pioche,1
Bonobo Co.,1
Bonus Film,1
Bonyad Mostazafan,1
Boogui Cinema,1
Booker Entertainment,1
Bookmark Pictures,1
Boom Pictures Inc.,1
Boomer Pictures,1
Booster Project,2
Boot Girl Production,1
Bootmen Productions (Hilary Linstead-Dein Perry),1
Boots and Saddles Pictures,4
Bop Productions,1
Boram Entertainment,4
Border Film Productions,1
Border Productions,1
Border Run Pictures,1
Border2Border Entertainment,1
BorderLine Films,2
Borderie,1
Borderline,1
Boreal Film,1
Borealis Enterprises,1
Borealis Production,1
Boris Films,1
Boris Morros Productions,1
Born Top Producers,2
Borough Films,2
Borough Park Productions,1
Borson Productions,1
Bos Bros. Film & TV Productions,5
Boshra Film,2
Bosko Biati Film,1
Bosna Film,5
Boston Film Corporation,1
Boston Pictures,1
Bota Productions,1
Bottom Line Studios Inc.,1
Boudu Films,1
Boulane O'Byrne Production,1
Boulevard Films,2
Boulting Brothers,1
Bound for Glory,1
Boundless Pictures,1
Boundscript Motion Pictures,1
Bountiful Film Partners,1
Boutique Films,1
Bovine Productions,1
Bowden Productions Limited,2
Bowergange Productions,1
Box Drinks Film Production,1
Box Films,1
Box Office Spectaculars,1
Box Productions,1
Box TV,3
Box! Film- und Fernsehproduktions GmbH,1
Boxcar Films,1
Boxing Cat Films,1
Boxoffice International Pictures (BIP),9
Boy Culture LLC,1
Boyana Film,10
Boyd's Company,4
Boyut Film,1
Boz Productions,1
Bozie,1
Bradley Films,1
Brady Oil Entertainment,1
Brady's Run Associates,1
Braeburn Entertainment,1
Braidwood Films,1
Brain Damage Films,2
Brain Escape Pictures,1
Brain Zoo Studios,1
Brainbow Pictures,1
Brainiac Films,1
Brainwave,2
Branca Filmes,1
Brand New Films,1
Brandenberg,1
Brandes Films International,1
Brandman Productions,1
Brandnew Films,1
Brandon Films,1
Brandt-Todd Company,1
Brandy Film Production,1
Brandywine Motionarts Films,1
Brandywine Productions,3
Brant-Allen,1
Branti Film Productions,1
Brauer Productions Inc.,1
Braun Entertainment Group,3
Braunstein and Hamady Productions,1
Braveart Films,1
Braveworld Productions,2
BraxtanFILM,1
BreadCrumbs The Movie,1
Break Even,1
Break Through Pictures,1
Breakaway Films,2
Breakheart Films,1
Breaking Point Productions,1
Breakout Films,1
Breakout Pictures,1
Breakout,1
Breakthrough Entertainment,1
Breath,2
Breathless Associates,1
Bregman-IAC Productions,1
Bregman/Baer Productions,1
Breidablick Film AB,3
Bren,1
BrennFilm,1
Brenster Productions,1
Brent Walker Film Productions,4
Brent Walker PLC,1
Brent Walker,1
Brent,1
Breton Film Productions,7
Brett Hanover,1
Brian Trenchard-Smith Productions,1
Briand Film Productions,1
Brickwall Productions,1
Bridas,1
Bridge Entertainment Group,4
Bridge Films,1
Bridge Pictures,1
Bridge Productions,1
Bridge and Tunnel Productions LLC,1
Bridgeway Productions,1
Brierley Investments,1
Brigade Productions,1
Brigand Films,1
Briggs and Sullivan,1
Brigham Young University,1
Bright Ideas,1
Bright Light Studio,1
Bright Line Films,1
Bright Pictures,1
Bright-Persky Associates,1
Brightlight Pictures,3
Brightly Entertainment,1
Brighton Pictures,2
Brightstar Films,3
Briguglio Films,1
Brilliant Idea Group (BIG),7
Brillstein Entertainment Partners,1
Brillstein-Grey Entertainment,2
Brimstone Entertainment LLC,2
Brink Creative,1
Bristol Bay Productions,2
Bristol Films,1
Britannia Films,2
Britannic,1
British Aviation Pictures,2
British Broadcasting Corporation (BBC) Television,1
British Broadcasting Corporation (BBC),46
British Columbia Film Commission,3
British Columbia Film,3
British Documentary Foundation,1
British Empire Films Australia,1
British Film Company,1
British Film Institute (BFI) Production Board,1
British Film Institute (BFI),19
British Film-Makers,1
British Instructional Films (BIF),4
British International Pictures (BIP),17
British Lion Film Corporation,14
British Lion Films,6
British National Films,11
British PathÃ©,1
British Screen Finance Ltd.,2
British Screen Productions,37
British Social Hygiene Council,1
Brittany House Pictures,1
Broadbank Investments,1
Broadcasting Agency,1
Broadcasting Commission of Ireland,1
Broadway Enterprises,1
Broadway Pictures,7
Broadway Roadshow Productions,1
Broadway Video,2
Brodsky-Gould Productions,1
Broken Lizard Industries,3
Broken Sky Films,1
Broken Twig Productions Inc.,1
Broken Windows,1
Bronco Productions,1
Bronson Club,1
Bronx Born Films,1
Bronze Age Films,1
Bronze Eye Productions,1
Brooklyn Independent Studios,1
Brooklyn Schoolyard LLC,1
Brooklyn-Queens Experiment,2
Brooks Ltd.,1
Brooksfilms,14
Brookstreet Pictures,1
Brookwell-McNamara Entertainment,2
Brookwood Entertainment,1
Broomstick Entertainment,1
Broth Film,1
Brotherhood Company,1
Brothers Cleveland Productions,2
Brothers Dowdle Productions,1
Brothers McMullen Productions,1
Brothers and Sisters S.L.,1
Brothers in Arms,1
Brothers of the Order,1
Brouwersgracht Investments,3
Brown - Murphy Pictures,1
BrownBag Productions (II),2
Brownstone Productions (I),1
Browntown Films,1
Bruce Cohn Curtis Films Ltd.,1
Bruce Lansbury Productions,1
Bruin Grip Services,3
Bruiser Films LLC,2
Bruno Bozzetto Film,2
Brut Productions,7
Bruton Film Productions,2
Brux International Pictures,4
Bryan Foy Productions,10
Bryanston / Kent / Damiano,1
Bryanston Pictures,1
Bryanston/Seven Arts,1
Bryna Productions,9
Brynaprod S.A.,2
BrÃ¡s Filmes,1
BrÃ¶derna LindstrÃ¶ms fÃ¶rlag,1
Bubby,1
Bubonic Films,1
Buc-Film,1
Buckeye Films,1
Buckingham Film Productions,1
Buckman,1
Bud Yorkin Productions,2
Budapest FilmstÃºdiÃ³,10
Budapest JÃ¡tÃ©kfilmstÃºdiÃ³,1
Budapest StÃºdiÃ³ VÃ¡llalat,1
Budderfly Productions,1
Buddy Buddy Pictures,1
Buddy Ruskin--Sabra,1
Buena Onda,1
Buena Vista Home Entertainment,2
Buena Vista International (Sweden),1
Buena Vista International Film Production (Germany),1
Buena Vista International,4
Buena Vista Pictures,2
Buenos Aires Rojo Shocking,1
Buenos Dias,1
Buffalo Gal Pictures,3
Buffalo Jump Productions,1
Buffalo Speedway Film Company,1
Bug Point,1
Bugeater Films,3
Buksfilm,1
Bulbul Films,5
Bulevares Producciones,1
Bulgarian National Film Center,2
Bull Lee Films,1
Bull Market Entertainment,2
Bull's Eye Entertainment,1
Bulldog,3
Bullet Films,1
Bulletproof Productions,1
Bullseye Entertainment Group,1
Bullwinkle Studios,1
Bullz Eye Productions,1
Bulut Film,2
Bulwark Entertainment,1
Bundesamt fÃ¼r Kultur (BAK),1
Bungakuza,1
Bungalow Productions,1
Bungei Production Ninjin Club,1
Bungei,1
Bungeishunju,1
Bunkasha,1
Bunker Productions International Pty.,1
Burden-Chanler Productions,1
Burg-Ambassador,1
Burg/Koules Productions,2
Burgundy Films,1
Buriti Filmes,2
Burmawala Bros.,1
Burn Hand Film Productions,2
Burn Pictures,1
Burnin' Bones,1
Burning Productions,2
Burns Film Ltd.,1
Burnside Distribution Company,1
Burnside Entertainment,1
Burnt Orange Productions,2
Burroughs-Tarzan Enterprises Inc.,1
Burrowes Film Group,1
Burt Topper Productions,1
Burwalt Productions,1
Buskin Film,1
Busse & Halberschmidt,2
Busted Tranny,1
Buster Keaton Productions,4
Busterburger Limited Partnership,1
Busybody Productions,1
Butcher's Film Productions,1
Butcher's Film Service,4
Butcher's Run Films,3
Butter Films Inc.,1
Butterfly Motion Pictures,2
Butterfly Productions,1
Butterfly Valley N.Y.,1
Buzz Kill,1
Buzzard Films,1
Byronic Pose Productions,1
Byzantine Productions,1
BÃ³rd ScannÃ¡n na hÃ‰ireann,14
C & C Brown Production,2
C & Film,1
C I P I CinematogrÃ¡fica,1
C Plus Pictures,1
C Yapim Filmcilik Produksiyon,1
C&P Productions,1
C-2 Pictures,1
C-B Productions,1
C-Hundred Film Corporation,1
C. FÃ©nix Films,1
C. Ito and Company Ltd.,1
C.A.P.A.C.,11
C.A.T. Films,1
C.A.T. Productions,1
C.B. DeMille Productions,1
C.B. Films S.A.,2
C.B.A. Produttori e Distributori Associati,1
C.C. Astro,1
C.C. Bang Bang Productions Inc.,1
C.C. Becker Productions,1
C.C. Burr Productions Inc.,1
C.C. Champion,1
C.E.C. Films,1
C.E.O. Films,1
C.G. Silver Film,2
C.G.K. Productions,1
C.H.U.D. Productions,1
C.I.C.C.,1
C.I.D.C. Altamira Fil Altamira Films,1
C.L.G. Films,1
C.O.F.C.I.,2
C.O.R.E. Digital Pictures,2
C.O.R.E. Feature Animation,1
C.P.C. Cinematografica,1
C.R.G. International,1
C.S. Productions,1
C.V. Productions,1
C.V. Whitney Pictures,3
C2,1
C4 Pictures,2
C47 Productions,1
CA Films,1
CAB Productions,5
CAE Productions,1
CALLIDVS,1
CAPAD,1
CASDEN Banque Populaire,1
CB Films,1
CB Productions,1
CBK,1
CBL Films,1
CBS Entertainment Production,3
CBS Europa,1
CBS Films,5
CBS Records,1
CBS Theatrical Films,7
CCC Films,1
CCC Telecine,2
CCC of America,1
CCCP,2
CD Films,1
CD2 Films,1
CDI,1
CDK,1
CDS Management,1
CED Productions,1
CEI Incom,3
CEI,1
CF1 Cyf,2
CFF,1
CFI Investments,1
CFQ Films,3
CFS Avala Film,1
CG Entertainment,1
CG Productions,1
CGF Films,1
CGIC,1
CIM,1
CINAR,3
CINEON Entertainment,1
CIO,1
CIP Filmproduktion GmbH,3
CIP,1
CIPI Cinematografica S.A.,1
CJ E&M Film Financing & Investment Entertainment & Comics,5
CJ Entertainment,100
CJ Venture Investment,1
CKK,1
CKRush Entertainment,1
CL Productions,6
CLC,1
CLM Productions,1
CLP,1
CLT,1
CLT-UFA International,4
CM Film Co.,1
CM Productions,1
CMC Entertainment,2
CMC Magnetics Corporation,1
CMC Pictures Corp.,1
CMR International,1
CMV Produzione Cinematografica,2
CN Film,1
CNC 5,1
CNCAIMC,1
CNP Entertainment,1
CO 1. Filmproduktions KG,1
CO Film AB,3
CO Films,1
CP Medien AG,2
CPB Films (Compagnie des Phares et Balises),1
CPM,1
CQ3 Films,3
CSC Sisters,1
CSM Productions,1
CST Productions,1
CTB Film Company,20
CTI (Cinema Television International),1
CTR,1
CTV 72 Film und Fernsehproduktion GmbH,1
CTV Services,1
CTV Television Network,1
CTV,1
CTV-Media Studio Corporation,1
CWG Productions LLC,1
CWL,1
CY Films,1
Cabal Film,1
Cabezahueca,1
Cabin Company Ltd.,1
Cabin Fever Entertainment,10
Cabin Movie Productions Ltd.,1
Cable Distribution Fund,1
Cable Hogue Co.,1
Cable and Wireless Finance,1
Cacerola Films,1
Cacerolazo Producciones,1
Cactus Film,2
Cada Films,1
Cadrage,1
Cadre Films,1
Cady Films,1
Cafe Entertainment Studios,1
Cafe Productions,1
CafÃ© Film,1
Cage Productions,1
Caged Angel Films,1
Cagney-Montgomery Production,1
Cairo Films,1
Cake Productions Inc.,1
Cal Cine,1
Cal-Am Productions,3
Calash Corporation,1
Calder Road Films,1
Caldera/De Fanti Entertainment,1
Caledonia Pictures,1
Calendar International Pictures Inc.,1
Calentito,1
Calepas International,2
Calibra Pictures,1
Calibre Films,1
Califilm,5
California Film,1
California Pictures,1
Caligari Films S.A.,1
Calimari Productions,1
Calla Productions,1
Callender Company,1
Callisto Entertainment,1
Calypso Filmproduktion,1
Cam-Scope Pictures,1
Camara Carnal,1
Cambridge Productions,2
Camelot Pictures,1
Camelot PÃ©lis S.L.,2
Cameo Films,2
Cameo Pictures (II),1
Cameo Pictures,1
Cameofilm,1
Camera 2 Productions,1
Camera Media,1
Camera One,2
Camera,3
Camera-Filmproduktion,1
Cameron Entertainment Ltd.,3
Camouflage Productions Inc.,1
Camp Hill,1
Campanile Productions,1
Campbell Devon Productions,1
Campbell Productions,1
Campbell-Silver-Cosby Corporation,1
Camperdown N.V.,1
CamÃ©ra One,2
CamÃ©ras Continentales,1
Can I Watch,1
Can Too Entertainment,1
Canada Council for the Arts,2
Canada Permanent Trust Company,1
Canada TV,1
Canada Television & Cable Production,1
Canadian Broadcasting Corporation (CBC),5
Canadian Entertainment Investors Number One and Company Limited Partnership,1
Canadian Film Centre (CFC),2
Canadian Film Development (CFDC),3
Canadian Film Development Corporation (CFDC),21
Canadian Film Development,5
Canadian Film or Video Production Tax Credit (CPTC),8
Canadian Government,2
Canadian Photoplays Ltd.,1
Canadian Television Fund,1
Canafox Films,1
Canal 2 plus,1
Canal Film Production Ltd.,1
Canal Horizons,2
Canal Plus Image International,1
Canal Street Films,2
Canal Sur TelevisiÃ³n,2
Canal+ Droits Audiovisuels,1
Canal+ EspaÃ±a,44
Canal+ Polska,4
Canal+ Productions,5
Canal+,168
Canana Films,4
Canarom Productions,3
Canary Films,1
Candice Productions,1
Candlelight Films,1
Candlelight Media Group,1
Candlelight Pictures,1
Candyman Films,1
Canes Films,1
Cangary,2
Canguro Produzioni Internazionali Cinematografiche,1
Canned Pictures Inc.,1
Cannell Films,1
Cannes Production,1
Cannon City Produktie Maatschappij B.V.,1
Cannon Entertainment,2
Cannon Films,21
Cannon Group,32
Cannon International,4
Cannon Italia Srl,2
Cannon Pictures Inc.,4
Cannon Pictures,8
Cannon Productions,1
Cannon Screen Entertainment,2
Cannon,2
Canny Film Partnership,1
Canon Italia S.r.l.,1
Canonigo Films,3
Canopy Films,1
Cantaloupe Production,1
Canterbury Film Productions,1
Cantina Bar Films,1
Cantina Blues Films,1
Canto Claro ProduÃ§Ãµes ArtÃ­sticas,1
Cantor-Markham Productions,1
Canyon Films Distribution,1
Canyon Productions,1
Capacity Pictures,2
Capcom Company,1
Capcom Entertainment,2
Cape Atlantic Productions,1
Cape Cod Films,1
Cape Fear Filmworks,1
Cape Filmworks,1
Cape Town Films,1
Capella Films,1
Capella International,8
Capers Productions,1
Capi Films,1
Capital Arts Entertainment,2
Capital City Entertainment,2
Capital Entertainment,1
Capital Equipment Leasing,1
Capital Film,1
Capital Films,6
Capital K Pictures,1
Capital,2
Capitol Films,17
Capitol International,2
Capitol Theatre,2
Capitole Films,5
Capitolina Produzioni Cinematografiche,6
Caplin,1
Cappa Defina Productions,1
Cappa Production,1
Capri Films,1
Capri Productions,1
Caprice Bridge Co.,1
Capricorn Pictures,1
Capricorn,2
Capricorno Transcontinental Pictures,1
Caprino Filmcenter a/s,1
Capstone Entertainment Group,1
Capstone Pictures,1
Captain Movies,1
Captive Productions Inc.,1
Captivity Productions,1
Capture Film International,1
Captured Films,1
Captures Entertainment,1
Car School Film-O-Rama,2
Carac Films,1
Caracol TelevisiÃ³n,5
CaradecÃ£o Filmes,1
Caralan Productions Ltd.,4
Caramel Film,1
Caravan Pictures,16
Carbo Films,1
Carbon Based Entertainment,1
Carcharodon,1
Carden & Cherry,1
Cardiac Pictures,1
Cardoza-Francis Productions,1
Care,1
Caretaker Films,1
Caretaker,1
Cargo Films,1
Caribury Films Ltd.,1
Carillon Films,1
Carl Froelich-Film GmbH (I),1
Carl Krueger Productions,2
Carlin Company Productions,1
Carlmar Film,3
Carlo Ponti Cinematografica,3
Carlton Continental,1
Carlton Film Export,1
Carlton Film Exports,1
Carlton Films,1
Carlton-Film,4
Carmel Entertainment,2
Carmel Productions,5
Carnaby International,5
Carnaval Unifilm,1
Carne de NeÃ³n,1
Carnival Film & Television,2
Caro,1
Caro-Film GmbH,1
Carolco Entertainment,4
Carolco International N.V.,1
Carolco Pictures,26
Carolina Films,1
Caroline Productions,1
Carolyn Johnson Films,1
Carota,1
Carrere Group D.A.,2
Carrie Productions Inc.,1
Carrollton Film Partners,1
Carrollton Inc.,2
Carros Pictures,1
Carrot Entertainment,1
Carsey-Werner Company,2
Carson Films,1
Carson Productions,1
Carstein,1
Cart Horse Films,1
Cartel Productions,1
Carter Film Productions,1
Carthage Films,1
Carthago Coop. CinematogrÃ¡fica,1
Carthago Films S.a.r.l.,7
Carthay Continental,1
Cartier Productions,1
Cartoon Network Studios,1
Cartoons Cinematografica Italiana,1
Cartwheel Features,1
Cartwn Cymru,1
Caruso / Mendelsohn Productions,2
Caruth C. Byrd Productions,1
Carvold,1
Caryn,1
Cas-Mor Productions,1
Casa Kafka Pictures,1
Casa Nova Film Company AB,1
Casa de Cinema de Porto Alegre,2
Casa de Filme Cinci,3
Casa de Filme Patru,2
Casa de Filme Unu,1
Casablanca 80,1
Casablanca Films,1
Casablanca Filmworks,3
Casablanca Producciones S.A.,1
Casanna,1
Casbah Film,1
Cascade Films,5
Cascadeur Filmproduktion GmbH,1
Casey Productions,2
Casey Silver Productions,1
Cashel Entertainment,1
Casp Productions,1
Cass Films,1
Cassandra Films Pty. Ltd.,1
Cassandra Films,1
Cassava Films,1
Cassia Hill Production,1
Castafiore Films,5
Castel Film Romania,15
Castel Film Studio,1
Castel Films,1
Castelao Producciones,16
Castilla Films,1
Casting House,1
Castle Frank Pictures,1
Castle Hero Pictures,1
Castle Hill Productions,3
Castle Media,1
Castle Rock Entertainment,63
Castlehill-Kodiak,1
Castlight Pictures,1
Castor Film,2
Castor Films,3
Castoro,2
Casual Friday Productions,1
Cat Scare Films,1
Catalan Films & TV,2
Cataland Films,3
Catalina Productions,1
Catapult Filmproduktion,1
Catch 23 Entertainment,1
Catch One Productions LLC,1
Catchlight Films,3
Catfish Productions,2
Cathay Studios,1
Cathay-Keris Film Productions,1
Catherine Dussart Productions (CDP),6
Catpics Coproductions,3
Catpics,1
Cattle Annie Productions,1
Cattleya,29
Cavalier Features,2
Cavalier Films,1
Cavalier Productions,1
Cave 76,1
Cavedweller Productions Ltd.,1
Caviar Films,4
Cavu Pictures,1
Cayman Went,1
Cayo Largo Productions,1
Ce Qui Me Meut Motion Pictures,3
Cebra Producciones,1
Cecchi Gori Europa N.V.,1
Cecchi Gori Group Fin.Ma.Vi.,9
Cecchi Gori Group Tiger Cinematografica,32
Cecchi Gori Pictures,1
Cecile Films,1
Cedar Partners,1
Cedar Productions (I),1
Cedarwood Productions,1
Cee (I) TV Entertainment Ltd.,2
Celador Films,4
Celestine Films LLC,1
Cell Block Productions Inc.,1
Celluloid Dreams,5
Celsius Films,1
Cem Film,1
Cement Match,1
Cemo Film,2
Ceneca Producciones,1
Cent Productions Inc.,1
Centar Film,13
Centaur Pictures Inc.,1
Centaur,2
Centauro Films de Colombia,1
Centauro Films,3
Center Ring Entertainment,1
Center for Asian American Media (CAAM),2
Centerstage Productions,2
Central Arts,1
Central Cinema Company Film (CCC),45
Central Film Office of the Iranian Ministry of Culture,1
Central Films,1
Central Motion Pictures,15
Central Park Films,1
Central Partnership,16
Centre EuropÃ©en CinÃ©matographique RhÃ´ne-Alpes,4
Centre National de la CinÃ©matographie (CNC),27
Centre Street,3
Centre du CinÃ©ma et de l'Audiovisuel de la FÃ©dÃ©ration Wallonie-Bruxelles,5
Centrifugal Films,1
Centro Cinematografico del Ministero della Marina,1
Centro Digital Pictures Ltd.,1
Centro Nacional AutÃ³nomo de CinematografÃ­a (CNAC) (I),1
Centro Nacional de Cinematografia,1
Centro PortuguÃªs de Cinema (CPC),2
Centro Produzioni Cinematografiche CittÃ  di Milano,3
Centro Universitario de Estudios CinematogrÃ¡ficos (CUEC),2
Centro de CapacitaciÃ³n CinematogrÃ¡fica (CCC),2
Centro de Nuevos Creadores,1
Centronics International,1
Centropolis Film Productions,5
Centroproduzione SpA,1
CentrÃ¡l FilmstÃºdiÃ³,1
Centurion,1
Century 21 Television,1
Century Creator Co. Ltd.,1
Century Film Partners Inc.,2
Century Films,1
Century Hero Film Investment Company,1
Century,1
Cerebral Experiment,1
Ceres Films,1
Cerito Films,14
CeskoslovenskÃ¡ FilmovÃ¡ Spolecnost,1
CeskoslovenskÃ¡ Televize,2
CeskoslovenskÃ½ Filmexport,3
CeskoslovenskÃ½ StÃ¡tnÃ­ Film,11
CeskoslovenskÃ½ armÃ¡dnÃ­ film,2
CeskÃ¡ Televize,23
CestmÃ­r KopeckÃ½,1
CesÃ¡reo GonzÃ¡lez Producciones CinematogrÃ¡ficas,5
Cetelci S.A.,2
Cetus Productions,2
Ceylon Studios,1
Chabo Films,1
Chadwick Pictures Corporation,2
Chaevas Filmworks,1
Chai Productions,1
Chaiken Films,2
Chaillot Films,1
Chain Gang Films,1
Chaiyo Productions,1
Chakadola Films,1
Chako Films International,1
Chal Productions,1
Challenge Film Corporation,4
ChamartÃ­n Producciones y Distribuciones,1
Chameleon Filmworks,1
Champion Production Company,1
Champion,4
Champion-Edwards Productions,1
Champs-Ã‰lysÃ©es Productions,6
Chamun Productions,1
Chancellor Films,1
Chand Films,1
Chanford,1
Chang Hong Channel Film & Video,8
Chang Shu A & V Production,1
Chang Tso-chi Film Studio,1
Chang's Film Company,8
Chang's Film,1
Changchun Film Studio,3
Changhe Films,1
Chango Productions,1
Chanh Phuong Phim,1
Channel 1+1,1
Channel 4 Television Corporation,4
Channel Communications,2
Channel Films,1
